"international_plan","total_day_minutes","total_intl_minutes","number_customer_service_calls","total_intl_calls","churn"
"1323","yes",132.1,9.1,2,1,"yes"
"1324","no",197.1,9.3,0,11,"no"
"1325","no",154.6,12.6,2,5,"no"
"1326","no",153.1,10,6,1,"yes"
"1327","no",211.2,6.3,2,9,"no"
"1328","no",96.8,10.9,2,5,"yes"
"1329","no",172,10.1,1,9,"no"
"1330","no",141.1,8,2,7,"no"
"1331","no",151.1,13.8,2,2,"no"
"1332","no",209.6,7.6,3,2,"no"
"1333","no",247,10.5,3,4,"no"
"1334","no",221.4,10.8,1,12,"no"
"1335","no",321.3,8,1,4,"yes"
"1336","no",243.7,11.3,0,2,"no"
"1337","no",251.5,11.1,3,6,"no"
"1338","yes",236.9,7.3,0,2,"yes"
"1339","no",159.7,9.3,2,3,"no"
"1340","yes",148.2,9.2,4,1,"yes"
"1341","no",150.9,14.7,1,1,"no"
"1342","no",210.5,11.5,1,2,"no"
"1343","no",170.9,4.1,2,5,"no"
"1344","no",254.7,10.6,0,8,"no"
"1345","no",284.4,8.4,0,8,"yes"
"1346","no",0,6.8,4,1,"yes"
"1347","yes",133.7,10.7,1,2,"yes"
"1348","no",224.9,10.3,0,3,"no"
"1349","no",151.8,11.9,1,5,"no"
"1350","no",141.4,5.6,2,3,"no"
"1351","no",285.7,14.8,0,7,"yes"
"1352","no",58.4,11.9,1,5,"no"
"1353","no",90.4,13.1,0,4,"no"
"1354","no",114.4,11,0,3,"no"
"1355","no",147.7,12.8,2,3,"no"
"1356","no",302.7,13.6,3,14,"no"
"1357","no",136.1,11.3,1,4,"no"
"1358","no",169.7,12.8,3,6,"no"
"1359","no",227.2,14.9,0,2,"no"
"1360","no",217.8,10.3,1,6,"yes"
"1361","no",124.2,13.1,2,8,"no"
"1362","no",206.2,13.6,1,2,"no"
"1363","no",132.9,9.9,3,2,"no"
"1364","no",104.9,7.7,3,6,"no"
"1365","no",245,13.7,1,8,"yes"
"1366","no",184.5,11.6,1,3,"no"
"1367","no",89.5,12.3,3,1,"no"
"1368","yes",235.6,8.6,1,4,"no"
"1369","no",186,11.5,4,6,"no"
"1370","no",223.9,7.3,1,9,"no"
"1371","no",179.5,6.6,1,2,"no"
"1372","no",169.4,8.9,1,5,"no"
"1373","no",118.1,8.2,1,6,"no"
"1374","no",112,4.1,4,4,"yes"
"1375","no",168.4,8.5,0,7,"no"
"1376","no",214.3,11.3,0,10,"no"
"1377","no",245.7,4.2,4,5,"yes"
"1378","no",156.6,13.4,1,10,"no"
"1379","yes",142.8,8.9,1,4,"no"
"1380","no",202.4,10.2,3,2,"no"
"1381","no",116.8,12,1,2,"no"
"1382","no",155.7,11,1,1,"no"
"1383","no",236.1,9.1,2,4,"no"
"1384","no",138.1,8.2,2,2,"no"
"1385","no",51.9,10.1,3,3,"no"
"1386","no",81.3,8.9,0,3,"no"
"1387","no",171.5,7.1,0,3,"no"
"1388","no",126,7.6,1,3,"no"
"1389","yes",197.2,9.9,4,6,"no"
"1390","no",194.1,15.3,1,4,"no"
"1391","no",115.7,9.3,1,6,"no"
"1392","no",157.2,8.4,3,5,"no"
"1393","no",269.7,4.5,3,15,"yes"
"1394","no",246.4,9.1,0,8,"no"
"1395","no",227.4,13,1,4,"no"
"1396","no",189.8,12.2,0,4,"no"
"1397","yes",188.9,11.5,4,5,"no"
"1398","no",0,7.2,1,4,"no"
"1399","no",110.5,11,1,4,"no"
"1400","no",167.6,11.7,4,2,"no"
"1401","no",132,0,3,0,"no"
"1402","no",167.8,11.9,0,4,"no"
"1403","no",213.4,5.7,1,4,"no"
"1404","no",175.4,10.6,0,1,"no"
"1405","no",82.6,9.5,3,1,"no"
"1406","no",143.2,8.8,4,7,"yes"
"1407","no",125.5,8.9,1,8,"no"
"1408","no",82.3,11.8,6,2,"yes"
"1409","no",165.6,11.8,1,3,"no"
"1410","no",183.1,8.4,0,2,"no"
"1411","no",162.1,12.2,1,5,"no"
"1412","no",166.6,7.7,1,6,"no"
"1413","no",135.9,9.4,1,4,"no"
"1414","no",165.7,9.8,0,6,"no"
"1415","no",176.1,9.7,1,4,"no"
"1416","no",142.3,9.1,0,1,"no"
"1417","no",177.6,7.6,3,3,"no"
"1418","no",83.2,10.7,1,7,"no"
"1419","yes",235,5.7,2,7,"no"
"1420","no",105.7,6.6,2,12,"no"
"1421","yes",149.4,17.9,3,3,"yes"
"1422","no",264.7,10.4,0,7,"no"
"1423","no",160.3,5.6,1,1,"no"
"1424","yes",95.9,10.4,1,3,"no"
"1425","no",140.7,11.7,0,5,"no"
"1426","no",119.7,4.6,2,2,"no"
"1427","no",99.9,9.8,2,7,"no"
"1428","no",250.9,9.6,2,6,"no"
"1429","yes",200.6,11.2,2,5,"no"
"1430","no",209.8,7,1,7,"no"
"1431","no",198,7.6,1,4,"no"
"1432","no",239.8,11.3,1,5,"no"
"1433","no",164.5,11.2,0,2,"no"
"1434","no",220.9,12.2,1,2,"no"
"1435","no",112.8,13.2,2,6,"no"
"1436","yes",112.6,11.1,0,2,"yes"
"1437","no",226.4,10.8,1,7,"no"
"1438","yes",244.9,9.7,4,6,"no"
"1439","no",203.2,15.1,2,6,"no"
"1440","no",136.7,8.6,0,4,"no"
"1441","no",152.6,5,1,10,"no"
"1442","no",274.9,8.8,1,2,"no"
"1443","no",195.7,8.3,1,3,"yes"
"1444","yes",204.3,9.2,1,7,"no"
"1445","no",222.3,8.9,3,4,"no"
"1446","no",222.5,9.7,1,2,"no"
"1447","no",128.8,10.3,2,2,"no"
"1448","no",174.3,8.3,0,2,"no"
"1449","no",242.5,7.8,4,3,"no"
"1450","no",221.6,12.7,4,6,"no"
"1451","no",114.3,10.9,0,9,"no"
"1452","no",219.7,9.5,2,2,"no"
"1453","no",144.9,12.3,2,3,"no"
"1454","no",236.5,8.1,2,3,"no"
"1455","no",174,14.1,2,7,"yes"
"1456","no",109.5,6.6,1,7,"no"
"1457","no",81.6,9.9,1,4,"no"
"1458","no",133.4,5.9,1,4,"no"
"1459","no",137.1,8.6,1,4,"no"
"1460","no",197,16.1,0,8,"no"
"1461","no",198.1,9.3,3,3,"no"
"1462","no",39.5,10,0,6,"no"
"1463","no",199.5,8.1,2,4,"no"
"1464","no",156.8,7.6,1,6,"no"
"1465","no",183.4,9,3,5,"no"
"1466","no",132.4,8.6,1,2,"no"
"1467","no",63.2,5.1,0,3,"no"
"1468","yes",181.1,16.9,0,4,"yes"
"1469","no",117.5,4.2,3,7,"no"
"1470","no",218.7,15,0,1,"no"
"1471","no",207.3,5.9,1,3,"no"
"1472","no",150.6,8.1,0,5,"no"
"1473","yes",273.3,12,1,7,"yes"
"1474","yes",266.1,10.3,1,4,"no"
"1475","no",112.8,16.3,0,6,"no"
"1476","no",104.7,15.8,3,7,"no"
"1477","no",193.8,5.9,0,4,"no"
"1478","no",168.6,9.8,1,5,"no"
"1479","no",253.2,9.7,2,7,"no"
"1480","no",174.7,8.9,1,2,"no"
"1481","no",87,11,0,5,"no"
"1482","no",204.5,14.8,2,9,"no"
"1483","no",226.5,9.4,3,4,"no"
"1484","yes",234.1,10,1,3,"no"
"1485","yes",133.3,12.9,3,2,"yes"
"1486","no",133.9,15.4,1,3,"no"
"1487","no",160.2,9.7,0,2,"no"
"1488","no",230.6,11.1,0,2,"no"
"1489","no",227.4,6.3,2,4,"no"
"1490","no",72.8,11.8,2,2,"no"
"1491","no",196.1,7,1,2,"no"
"1492","no",197.1,12.8,1,3,"no"
"1493","no",219.6,9.7,1,5,"no"
"1494","no",153.4,12.8,4,4,"yes"
"1495","no",216,4.9,2,10,"no"
"1496","no",222.9,10.8,0,4,"no"
"1497","no",115.9,11.7,3,6,"no"
"1498","no",189.8,10.6,1,5,"no"
"1499","no",154.7,11.1,0,3,"no"
"1500","no",136.4,11.5,3,1,"no"
"1501","no",170.5,12.2,1,6,"no"
"1502","no",272.4,12.7,0,2,"no"
"1503","no",210,5.9,8,4,"no"
"1504","yes",236.5,12.2,2,3,"no"
"1505","no",153.9,8.5,2,3,"no"
"1506","no",223,8.8,1,5,"no"
"1507","no",252.4,10.7,2,3,"no"
"1508","no",197.9,12,1,6,"no"
"1509","no",152.4,6.6,3,5,"no"
"1510","no",237.4,9.2,3,3,"no"
"1511","no",265.6,8.6,1,2,"no"
"1512","no",197.3,6.7,1,6,"no"
"1513","no",199.1,4.2,1,1,"no"
"1514","no",233.7,12,2,2,"no"
"1515","no",183.1,7,1,3,"no"
"1516","no",139.4,10,2,5,"no"
"1517","no",213.9,8.4,1,3,"yes"
"1518","no",207.1,12.4,1,2,"no"
"1519","no",139.7,11.3,2,5,"no"
"1520","no",177.2,8.9,2,3,"no"
"1521","no",169.8,9.5,2,7,"no"
"1522","no",173.5,9.7,3,2,"no"
"1523","no",159.9,5.6,1,4,"no"
"1524","no",115.1,11.4,2,3,"no"
"1525","no",136.8,12.5,2,3,"no"
"1526","no",92.2,13.1,1,6,"no"
"1527","no",243.9,13.4,2,11,"no"
"1528","no",117.1,9,0,2,"no"
"1529","no",223.3,4.5,0,4,"yes"
"1530","no",154.8,10.6,3,2,"no"
"1531","no",261.4,8,1,6,"yes"
"1532","yes",46.5,9.6,4,4,"yes"
"1533","no",149.9,11.5,0,7,"yes"
"1534","yes",242.2,13.9,2,5,"yes"
"1535","no",259.4,10.7,1,6,"yes"
"1536","no",222.4,12,2,8,"no"
"1537","no",69.4,8.9,0,5,"no"
"1538","yes",156.5,11.1,4,3,"yes"
"1539","no",61.2,13.7,5,3,"yes"
"1540","yes",245.2,10.7,0,5,"no"
"1541","no",102.3,15.7,3,10,"no"
"1542","no",230.9,7.6,3,4,"no"
"1543","yes",227.4,11.9,0,3,"no"
"1544","no",192.8,12.7,1,6,"no"
"1545","no",162.6,8.2,1,2,"no"
"1546","no",219.4,11,2,1,"no"
"1547","no",137.2,14.3,1,4,"no"
"1548","no",87.7,10.5,1,10,"no"
"1549","no",271.1,10.3,1,5,"no"
"1550","no",103.4,14.4,1,3,"no"
"1551","no",52.2,11.4,2,2,"no"
"1552","no",165.4,8.7,0,3,"yes"
"1553","no",147.5,16.4,2,3,"no"
"1554","no",217.8,11.3,0,7,"no"
"1555","no",235.7,13.3,1,10,"no"
"1556","no",204.5,8.6,2,5,"no"
"1557","no",178.4,9.6,0,2,"no"
"1558","no",130.1,13.5,2,5,"no"
"1559","no",103.7,14.8,2,4,"no"
"1560","no",239.9,5.9,2,3,"no"
"1561","no",148.4,8.9,0,4,"no"
"1562","no",148.6,10,2,2,"no"
"1563","no",191.1,12.9,0,1,"no"
"1564","no",218.5,7.3,1,4,"no"
"1565","no",97.5,0,1,0,"no"
"1566","no",128.7,10.8,0,5,"no"
"1567","no",236.6,9.5,2,10,"no"
"1568","no",85.9,15.6,0,16,"no"
"1569","no",141.2,11.4,1,2,"no"
"1570","no",194.4,11.5,0,3,"no"
"1571","no",167.6,17.3,2,3,"no"
"1572","no",234.5,6.1,1,4,"no"
"1573","no",154.2,10.1,1,9,"no"
"1574","no",143.2,11.6,1,1,"no"
"1575","yes",216.4,12.7,1,4,"no"
"1576","no",161.9,8.5,1,2,"no"
"1577","no",118.7,10.4,3,6,"no"
"1578","no",179.1,10.2,1,10,"no"
"1579","no",147.9,8.8,2,5,"no"
"1580","no",209.2,16.5,2,4,"no"
"1581","no",244.3,10.6,0,6,"no"
"1582","no",175.3,5.6,1,11,"no"
"1583","no",150.5,9,1,2,"no"
"1584","no",197.4,13.2,0,2,"no"
"1585","no",163.5,12.6,1,5,"no"
"1586","no",236.9,11.4,2,7,"yes"
"1587","no",82.3,7.2,1,4,"no"
"1588","no",216,12.7,1,4,"no"
"1589","yes",180,12.4,1,3,"no"
"1590","no",143.7,5.8,1,6,"no"
"1591","no",198.2,11.3,1,7,"no"
"1592","no",185.6,11.1,2,5,"no"
"1593","no",137.6,5.8,3,10,"no"
"1594","yes",273.9,10.9,1,7,"yes"
"1595","no",125.3,6.3,3,2,"no"
"1596","no",178.8,8.6,3,4,"no"
"1597","no",214.9,8.2,0,5,"no"
"1598","no",163,15.1,2,4,"no"
"1599","no",163.8,8.8,2,2,"no"
"1600","no",189.5,13.4,1,3,"no"
"1601","no",155.2,4.5,0,4,"no"
"1602","yes",242.3,11.3,0,3,"yes"
"1603","yes",254.1,8.7,3,4,"no"
"1604","no",112,11.3,2,4,"no"
"1605","no",115.5,13.3,3,5,"no"
"1606","no",137.1,11.1,1,4,"no"
"1607","no",198.4,10.1,0,3,"no"
"1608","no",132.7,12.9,3,7,"no"
"1609","no",219.6,13.8,2,8,"no"
"1610","no",169.6,11.2,0,4,"no"
"1611","yes",160.4,12.6,4,5,"no"
"1612","no",95,11.2,0,2,"no"
"1613","no",160.1,7,2,1,"no"
"1614","no",194.6,3.8,3,2,"no"
"1615","no",236.4,13.8,1,4,"yes"
"1616","no",157.1,7.6,2,3,"no"
"1617","no",179.8,10.9,0,4,"no"
"1618","yes",148.2,11,0,4,"no"
"1619","no",183.2,11.9,1,6,"no"
"1620","no",119.2,12.2,4,6,"yes"
"1621","no",224,9.6,0,2,"no"
"1622","no",19.5,7.9,0,1,"no"
"1623","no",184.8,9.6,1,8,"no"
"1624","no",176.3,11.3,1,5,"no"
"1625","no",241.7,11.1,2,2,"no"
"1626","no",224.7,9.8,0,6,"no"
"1627","no",207.3,8.6,1,4,"no"
"1628","no",196.8,12.7,2,7,"no"
"1629","no",110.9,15.8,1,9,"no"
"1630","no",122.5,8,2,3,"no"
"1631","no",226.9,13.2,2,5,"no"
"1632","no",187,10,2,8,"no"
"1633","no",170.5,11.2,0,6,"no"
"1634","no",204.8,9.5,0,3,"no"
"1635","no",165.9,12,2,5,"no"
"1636","no",154,9.5,4,3,"yes"
"1637","no",158.1,8.9,1,6,"no"
"1638","no",225.2,9.1,2,2,"no"
"1639","no",159.4,9.7,6,2,"yes"
"1640","no",172.7,11.7,2,1,"no"
"1641","no",222.8,11,3,3,"no"
"1642","yes",214.1,10.1,1,3,"no"
"1643","no",54.8,7.5,1,3,"no"
"1644","no",134,7.3,3,3,"no"
"1645","no",184.8,10.5,1,6,"no"
"1646","no",283.1,11.3,3,3,"no"
"1647","no",291.8,9.9,0,2,"yes"
"1648","no",222.7,13.5,1,4,"no"
"1649","no",174.5,8.5,0,5,"no"
"1650","no",68.4,10.4,0,4,"no"
"1651","no",273,9.6,1,2,"no"
"1652","yes",225.3,17.3,1,9,"yes"
"1653","no",283.2,7.2,1,6,"no"
"1654","yes",131.4,11.1,1,2,"yes"
"1655","no",89.7,10.7,1,2,"no"
"1656","no",127.1,5,3,3,"no"
"1657","no",105.9,10.7,1,5,"no"
"1658","no",142.3,6,2,11,"no"
"1659","no",191.3,6.4,2,3,"no"
"1660","no",201.9,13.7,0,5,"no"
"1661","no",247.3,14.7,3,2,"no"
"1662","no",242.2,8.9,1,1,"no"
"1663","yes",127.3,13.7,5,5,"yes"
"1664","no",162,10.9,1,7,"no"
"1665","no",179.1,10.6,2,1,"no"
"1666","no",197.4,12.3,3,4,"no"
"1667","no",148.2,6.4,2,4,"no"
"1668","no",193.1,10.2,0,1,"no"
"1669","no",171.7,7.8,1,6,"no"
"1670","no",198.5,8.1,1,10,"no"
"1671","no",121.7,12.7,1,3,"no"
"1672","no",130.2,14,2,6,"no"
"1673","no",203.4,13.7,2,3,"no"
"1674","no",174.7,10.5,5,8,"no"
"1675","yes",241,9.9,1,1,"yes"
"1676","no",141.7,10.2,0,3,"no"
"1677","no",134.8,7.7,2,5,"no"
"1678","no",163.1,9,1,10,"no"
"1679","no",145.5,8.9,1,8,"no"
"1680","no",329.8,10.6,0,6,"yes"
"1681","no",194.5,12.7,2,1,"no"
"1682","no",131.9,7.1,1,4,"no"
"1683","no",150,8.5,1,3,"no"
"1684","no",196.6,12.9,2,4,"no"
"1685","no",99.7,14.1,2,4,"no"
"1686","no",143.6,10.8,3,5,"no"
"1687","no",231.9,12.3,2,3,"no"
"1688","no",37.8,14.2,3,5,"no"
"1689","no",72.8,10.5,3,4,"no"
"1690","no",94.8,11.4,1,5,"no"
"1691","no",221.8,12.4,1,9,"no"
"1692","no",269,7.3,2,4,"yes"
"1693","no",268.3,6.3,1,7,"yes"
"1694","no",198.7,12.5,1,5,"no"
"1695","no",115.5,11.5,7,7,"yes"
"1696","no",202.1,13.3,2,5,"no"
"1697","no",215.6,12.4,1,6,"no"
"1698","no",169.9,11.5,1,2,"no"
"1699","no",201.7,6,0,4,"no"
"1700","no",221.1,8.4,4,3,"no"
"1701","no",218.7,9.4,2,5,"no"
"1702","no",293.7,11,2,10,"yes"
"1703","no",120.3,7.7,4,3,"yes"
"1704","no",175.8,11.1,2,2,"no"
"1705","no",278.5,11.6,1,5,"yes"
"1706","no",236.3,7.2,3,2,"no"
"1707","no",273.8,11.7,1,3,"no"
"1708","no",131.1,5.6,5,9,"yes"
"1709","no",167.4,11.2,4,3,"no"
"1710","no",197.7,10.5,3,3,"no"
"1711","no",169.5,9,2,7,"no"
"1712","yes",225.2,11.7,0,4,"no"
"1713","no",174.5,10.3,4,5,"no"
"1714","no",129.7,7.5,5,3,"yes"
"1715","no",200,11.4,3,2,"no"
"1716","no",95.9,13.3,0,4,"no"
"1717","no",152.8,9.1,1,2,"no"
"1718","no",129.9,14.3,1,3,"no"
"1719","yes",268.4,9.7,2,8,"yes"
"1720","no",188.5,15.2,2,5,"no"
"1721","no",170.6,6.1,1,1,"no"
"1722","no",191.4,8.2,1,3,"no"
"1723","no",75.3,12.3,1,1,"no"
"1724","no",149.8,10.9,2,7,"no"
"1725","no",115.9,7.1,1,4,"no"
"1726","no",128.8,14.1,2,4,"no"
"1727","no",131.7,11,1,5,"no"
"1728","no",101.4,12.2,1,2,"no"
"1729","no",149,9.5,4,5,"no"
"1730","no",96.8,13.4,2,4,"no"
"1731","no",107.5,12.6,2,3,"no"
"1732","no",232.8,12.9,0,7,"yes"
"1733","no",121.1,8.3,3,5,"no"
"1734","no",124.3,3.5,0,6,"no"
"1735","no",157.7,13.8,1,3,"no"
"1736","no",124.3,14.8,0,1,"no"
"1737","no",286.4,6.9,1,6,"yes"
"1738","no",141.7,8.8,0,6,"no"
"1739","no",173,4.8,0,3,"no"
"1740","no",268.7,5.8,2,1,"yes"
"1741","no",218.5,9.4,0,6,"no"
"1742","no",255.3,3.7,3,5,"no"
"1743","no",41.9,11.4,1,5,"no"
"1744","no",260.8,5.8,1,2,"no"
"1745","no",239.4,7.7,0,3,"no"
"1746","no",226.7,10.2,0,1,"no"
"1747","no",179.3,13.5,1,6,"yes"
"1748","no",158,10,1,5,"no"
"1749","no",175.7,14.1,1,7,"no"
"1750","no",157.4,8.8,3,3,"no"
"1751","no",113.1,6.9,1,2,"yes"
"1752","no",182.7,8.8,1,2,"no"
"1753","yes",161.3,14.1,0,3,"yes"
"1754","no",142.5,7.5,2,2,"no"
"1755","yes",190.5,9.7,2,2,"yes"
"1756","yes",159.3,11.9,1,5,"no"
"1757","yes",153.8,9.2,1,6,"no"
"1758","yes",180.7,12,2,6,"no"
"1759","no",202.7,12.1,0,7,"no"
"1760","no",190.8,8.9,0,6,"no"
"1761","no",205.1,9.2,2,6,"no"
"1762","no",235.6,7.7,1,2,"no"
"1763","no",189.3,7.4,0,3,"no"
"1764","no",166.9,11.5,1,1,"no"
"1765","no",245.2,7.5,0,4,"yes"
"1766","no",132.6,12.7,4,2,"yes"
"1767","no",182.3,11.6,2,7,"no"
"1768","no",192.3,10.5,2,3,"no"
"1769","yes",122,10.8,2,2,"yes"
"1770","no",193,9.6,2,2,"no"
"1771","no",158.6,9.1,0,3,"no"
"1772","no",91.5,12.7,2,8,"no"
"1773","no",153.6,12.5,1,10,"no"
"1774","yes",221.6,11.5,1,3,"no"
"1775","no",244.7,6.6,1,1,"no"
"1776","no",239.8,9.5,0,4,"no"
"1777","no",172.4,11,0,5,"no"
"1778","no",242.5,10,3,3,"yes"
"1779","no",117.6,11.3,2,10,"no"
"1780","no",174.5,11.3,1,7,"no"
"1781","no",157.3,12,1,7,"no"
"1782","no",192,15.1,1,3,"no"
"1783","no",218.2,8,1,1,"no"
"1784","no",144.6,10.9,1,3,"no"
"1785","yes",153.6,14.1,0,4,"yes"
"1786","no",135.8,7.9,2,6,"no"
"1787","no",160.7,8.2,0,5,"no"
"1788","no",202.5,7.8,1,2,"no"
"1789","no",152.2,12.3,1,5,"no"
"1790","no",227.4,4.7,0,7,"no"
"1791","no",191.6,9.2,2,3,"no"
"1792","no",138.9,10.8,1,3,"no"
"1793","no",127,6.1,0,6,"no"
"1794","no",168.6,7.3,1,4,"no"
"1795","no",286.6,11.5,1,5,"yes"
"1796","no",164.6,15.2,1,4,"no"
"1797","no",144,13,1,4,"no"
"1798","no",141.6,10.2,0,11,"no"
"1799","no",204.3,12,1,4,"no"
"1800","no",163.2,6.2,1,10,"no"
"1801","no",225,10.7,0,4,"no"
"1802","no",176.1,8.5,2,6,"no"
"1803","no",254.2,13.8,5,7,"no"
"1804","no",174.9,8.5,1,5,"no"
"1805","yes",187.3,9.6,0,2,"yes"
"1806","no",211.8,10.7,3,9,"no"
"1807","no",241.9,11.7,0,6,"no"
"1808","no",196.1,12.9,3,1,"no"
"1809","no",231.3,12.4,3,2,"no"
"1810","no",161.6,13.8,1,2,"no"
"1811","no",194,11.9,0,5,"no"
"1812","no",109.7,15.4,3,8,"no"
"1813","yes",277,8.3,1,3,"no"
"1814","no",192.1,6.1,0,3,"no"
"1815","no",198.4,13.1,0,4,"no"
"1816","no",209.2,9.5,0,3,"no"
"1817","no",184.8,18.4,2,3,"no"
"1818","no",167.8,7.3,2,4,"no"
"1819","no",139.2,11.8,3,3,"no"
"1820","no",221.3,4.4,0,4,"no"
"1821","no",121.6,8.9,1,2,"no"
"1822","no",270.4,15.4,1,7,"no"
"1823","no",139.6,8.8,2,4,"no"
"1824","no",253,11.8,2,3,"no"
"1825","no",183.9,15,1,3,"no"
"1826","no",203.3,7.8,3,2,"no"
"1827","no",200.6,7.7,3,2,"no"
"1828","no",167.6,13.4,2,6,"no"
"1829","no",156.5,9.9,2,2,"no"
"1830","no",215.1,10.6,1,10,"no"
"1831","no",301.7,10.5,1,6,"no"
"1832","no",152.3,11.3,7,5,"no"
"1833","no",195.4,15.1,1,11,"no"
"1834","no",208.7,8,2,3,"no"
"1835","no",190.1,14.2,0,6,"no"
"1836","no",185.4,8,4,3,"no"
"1837","no",183.2,9.7,0,3,"no"
"1838","yes",54.2,8.6,1,2,"yes"
"1839","no",208,8.1,1,9,"no"
"1840","no",230.3,13.2,1,4,"no"
"1841","no",240.8,7.1,2,3,"no"
"1842","no",195.7,5.3,2,3,"no"
"1843","no",276.1,8.9,0,4,"yes"
"1844","no",166.1,16.2,2,3,"no"
"1845","no",135.9,11.5,4,3,"yes"
"1846","yes",189.1,13.9,2,3,"yes"
"1847","no",177.9,11.5,1,4,"no"
"1848","no",143.9,12.5,2,8,"no"
"1849","yes",148.2,8.6,2,3,"no"
"1850","no",287.1,13.9,2,1,"yes"
"1851","no",179.7,9.3,1,8,"yes"
"1852","no",165.8,10.9,5,3,"yes"
"1853","no",144.1,14.5,1,3,"no"
"1854","no",172.5,5.9,0,6,"no"
"1855","no",199.8,5.5,1,4,"no"
"1856","no",109.1,10.9,2,5,"no"
"1857","no",171.8,9.7,1,5,"no"
"1858","no",222.3,12.1,1,4,"yes"
"1859","no",245.8,11.2,0,7,"no"
"1860","no",164.6,8,0,3,"no"
"1861","no",211.7,7.4,0,7,"no"
"1862","yes",147.2,7.7,0,2,"yes"
"1863","yes",254.7,8,0,3,"yes"
"1864","yes",170.1,8.7,1,4,"no"
"1865","no",195.1,11.4,0,5,"no"
"1866","no",149.3,7.9,7,4,"yes"
"1867","no",81.9,8.9,2,1,"yes"
"1868","yes",191.1,9.8,0,3,"no"
"1869","no",206.9,8.3,3,2,"no"
"1870","no",239,13.5,1,8,"yes"
"1871","no",179.3,8,0,5,"no"
"1872","no",185.3,5.5,0,5,"no"
"1873","yes",141.4,8.1,2,3,"no"
"1874","no",248.6,12,1,1,"no"
"1875","no",152.5,4.9,2,3,"no"
"1876","no",145.6,11.4,1,7,"no"
"1877","no",164.2,8.1,1,1,"no"
"1878","yes",221,9.7,1,4,"no"
"1879","no",295.4,11.5,1,2,"yes"
"1880","no",139.8,9.4,2,7,"no"
"1881","no",162.3,14.8,4,1,"yes"
"1882","no",272.7,7.7,0,2,"yes"
"1883","yes",200.3,12.9,2,3,"no"
"1884","no",157.1,11.1,1,9,"no"
"1885","yes",135.8,12.3,2,7,"no"
"1886","no",236.7,12.7,1,6,"no"
"1887","no",111.4,5.5,3,6,"no"
"1888","yes",156.1,14.7,0,3,"yes"
"1889","no",191.1,12,2,4,"no"
"1890","no",153,10.3,1,15,"yes"
"1891","no",218.8,10.3,4,3,"no"
"1892","no",205.4,10.3,3,2,"no"
"1893","yes",225.2,9.9,0,1,"yes"
"1894","no",249.9,8.9,2,6,"yes"
"1895","no",131.6,10.2,3,5,"no"
"1896","no",197.9,10.1,0,9,"no"
"1897","no",166.5,9.9,1,5,"no"
"1898","no",225.4,12.9,1,3,"no"
"1899","no",275.8,7.4,2,5,"yes"
"1900","no",142.9,10.8,1,6,"no"
"1901","no",207.2,9.9,1,1,"no"
"1902","no",206.2,10.2,1,6,"no"
"1903","no",210.3,11.2,1,7,"no"
"1904","yes",225.7,14,1,7,"yes"
"1905","no",167.8,14.5,4,4,"yes"
"1906","no",197.7,7,2,3,"no"
"1907","no",169.8,10.9,1,4,"no"
"1908","no",190.6,9.8,2,1,"no"
"1909","no",80.3,12.8,2,3,"no"
"1910","no",231.7,12.1,0,2,"no"
"1911","no",69.1,6.5,0,4,"no"
"1912","no",188.8,8.2,4,7,"no"
"1913","no",150.6,10.4,8,8,"yes"
"1914","no",192,5.5,2,4,"no"
"1915","no",163.7,9.9,3,3,"no"
"1916","no",211.7,6.5,1,9,"no"
"1917","no",175.5,11.8,1,3,"no"
"1918","no",150.1,11,2,3,"no"
"1919","no",189.5,14.2,1,2,"no"
"1920","no",70.8,9.5,6,1,"yes"
"1921","no",215.5,8.6,1,6,"no"
"1922","no",101.7,9.4,3,6,"no"
"1923","no",258.4,9.7,4,8,"no"
"1924","no",242.4,11.8,1,6,"no"
"1925","no",131.8,11.3,1,2,"no"
"1926","no",190.2,9.8,2,6,"no"
"1927","no",154.1,9.8,2,4,"no"
"1928","no",188,15.3,3,3,"no"
"1929","no",103.1,11.2,1,5,"no"
"1930","no",175.4,11.6,0,4,"no"
"1931","no",145.4,10.9,1,1,"no"
"1932","yes",250.6,7.8,1,5,"no"
"1933","no",161.5,8.6,1,5,"no"
"1934","no",260.1,10,1,2,"yes"
"1935","no",281.3,8.7,0,3,"yes"
"1936","yes",130.1,13.6,3,5,"yes"
"1937","no",102,11.4,2,3,"no"
"1938","no",218.7,12.1,1,4,"no"
"1939","no",128.5,6.8,1,6,"no"
"1940","no",128.7,9.2,2,4,"yes"
"1941","no",172.2,8.7,1,4,"no"
"1942","no",199.2,7.6,1,3,"no"
"1943","no",184.5,8.8,2,3,"no"
"1944","no",168.6,10.9,0,7,"no"
"1945","no",174,6.7,1,3,"no"
"1946","no",230.4,8.5,1,3,"no"
"1947","no",198.2,5.1,1,5,"no"
"1948","no",186.1,8,0,4,"no"
"1949","no",148.5,6.8,1,2,"no"
"1950","no",157.1,10,0,8,"no"
"1951","no",155,7,4,4,"yes"
"1952","yes",129.3,9.6,1,7,"no"
"1953","no",188.5,6.1,1,6,"no"
"1954","no",208.8,11.1,0,5,"no"
"1955","no",238,11.8,0,10,"yes"
"1956","no",211.1,5.6,0,4,"no"
"1957","no",198.9,12.6,3,4,"no"
"1958","no",212.8,10.2,1,2,"no"
"1959","no",137.4,12.4,3,2,"no"
